"site","year","SST"
"SYSW","2008-08-01",-2.23422241210938
"SYLM","2008-08-01",-2.23422241210938
"JBAB","2008-08-01",-2.47930908203125
"NRBW","2008-08-01",-2.75460815429688
"MEBB","2008-08-01",-2.75460815429688
"MEKB","2008-08-01",-2.75460815429688
"MEPA","2008-08-01",-2.75460815429688
"SWAIN","2008-08-01",-1.97540283203125
"OTIS","2008-09-01",-0.57568359375
"CHSWRR","2008-09-01",-0.603363037109375
"CHSWRG","2008-09-01",-0.603363037109375
"PSSB","2008-09-01",-0.77685546875
"PSFB","2008-09-01",-0.77685546875
"SYSE","2008-09-01",-0.919830322265625
"SYSW","2008-09-01",-0.919830322265625
"SYLM","2008-09-01",-0.919830322265625
"JBAB","2008-09-01",-1.13116455078125
"NRBW","2008-09-01",-1.46353149414062
"MEBB","2008-09-01",-1.46353149414062
"MEKB","2008-09-01",-1.46353149414062
"MEPA","2008-09-01",-1.46353149414062
"SWAIN","2008-09-01",-0.42718505859375
"OTIS","2008-10-01",0.997528076171875
"CHSWRR","2008-10-01",1.22064208984375
"CHSWRG","2008-10-01",1.22064208984375
"PSSB","2008-10-01",0.71234130859375
"PSFB","2008-10-01",0.71234130859375
"SYSE","2008-10-01",0.65771484375
"SYSW","2008-10-01",0.65771484375
"SYLM","2008-10-01",0.65771484375
"JBAB","2008-10-01",1.0845947265625
"NRBW","2008-10-01",1.38058471679688
"MEBB","2008-10-01",1.38058471679688
"MEKB","2008-10-01",1.38058471679688
"MEPA","2008-10-01",1.38058471679688
"SWAIN","2008-10-01",0.73675537109375
"OTIS","2008-11-01",1.15374755859375
"CHSWRR","2008-11-01",1.11038208007812
"CHSWRG","2008-11-01",1.11038208007812
"PSSB","2008-11-01",0.6287841796875
"PSFB","2008-11-01",0.6287841796875
"SYSE","2008-11-01",0.641937255859375
"SYSW","2008-11-01",0.641937255859375
"SYLM","2008-11-01",0.641937255859375
"JBAB","2008-11-01",1.008056640625
"NRBW","2008-11-01",0.902130126953125
"MEBB","2008-11-01",0.902130126953125
"MEKB","2008-11-01",0.902130126953125
"MEPA","2008-11-01",0.902130126953125
"SWAIN","2008-11-01",0.86328125
"OTIS","2008-12-01",0.63818359375
"CHSWRR","2008-12-01",0.1558837890625
"CHSWRG","2008-12-01",0.1558837890625
"PSSB","2008-12-01",-0.23162841796875
"PSFB","2008-12-01",-0.23162841796875
"SYSE","2008-12-01",-0.088623046875
"SYSW","2008-12-01",-0.088623046875
"SYLM","2008-12-01",-0.088623046875
"JBAB","2008-12-01",0.303924560546875
"NRBW","2008-12-01",0.01373291015625
"MEBB","2008-12-01",0.01373291015625
"MEKB","2008-12-01",0.01373291015625
"MEPA","2008-12-01",0.01373291015625
"SWAIN","2008-12-01",0.359130859375
"OTIS","2009-01-01",0.513427734375
"CHSWRR","2009-01-01",0.134521484375
"CHSWRG","2009-01-01",0.134521484375
"PSSB","2009-01-01",-0.45751953125
"PSFB","2009-01-01",-0.45751953125
"SYSE","2009-01-01",-0.498565673828125
