"site","time","SST"
"SYLM","2008-10-01",-0.03863525390625
"JBAB","2008-10-01",-0.203125
"NRBW","2008-10-01",-0.112823486328125
"MEBB","2008-10-01",-0.112823486328125
"MEKB","2008-10-01",-0.112823486328125
"MEPA","2008-10-01",-0.112823486328125
"SWAIN","2008-10-01",0.0458984375
"OTIS","2008-11-01",0.534271240234375
"CHSWRR","2008-11-01",0.07666015625
"CHSWRG","2008-11-01",0.07666015625
"PSSB","2008-11-01",-0.12445068359375
"PSFB","2008-11-01",-0.12445068359375
"SYSE","2008-11-01",-0.056915283203125
"SYSW","2008-11-01",-0.056915283203125
"SYLM","2008-11-01",-0.056915283203125
"JBAB","2008-11-01",0.049957275390625
"NRBW","2008-11-01",-0.00469970703125
"MEBB","2008-11-01",-0.00469970703125
"MEKB","2008-11-01",-0.00469970703125
"MEPA","2008-11-01",-0.00469970703125
"SWAIN","2008-11-01",0.16778564453125
"OTIS","2008-12-01",0.142730712890625
"CHSWRR","2008-12-01",-0.6290283203125
"CHSWRG","2008-12-01",-0.6290283203125
"PSSB","2008-12-01",-1.155029296875
"PSFB","2008-12-01",-1.155029296875
"SYSE","2008-12-01",-1.080810546875
"SYSW","2008-12-01",-1.080810546875
"SYLM","2008-12-01",-1.080810546875
"JBAB","2008-12-01",-0.92852783203125
"NRBW","2008-12-01",-1.12869262695312
"MEBB","2008-12-01",-1.12869262695312
"MEKB","2008-12-01",-1.12869262695312
"MEPA","2008-12-01",-1.12869262695312
"SWAIN","2008-12-01",-0.157470703125
"OTIS","2009-01-01",0.1600341796875
"CHSWRR","2009-01-01",0.201385498046875
"CHSWRG","2009-01-01",0.201385498046875
"PSSB","2009-01-01",-0.144073486328125
"PSFB","2009-01-01",-0.144073486328125
"SYSE","2009-01-01",-0.296295166015625
"SYSW","2009-01-01",-0.296295166015625
"SYLM","2009-01-01",-0.296295166015625
"JBAB","2009-01-01",-0.579498291015625
"NRBW","2009-01-01",-0.315826416015625
"MEBB","2009-01-01",-0.315826416015625
"MEKB","2009-01-01",-0.315826416015625
"MEPA","2009-01-01",-0.315826416015625
"SWAIN","2009-01-01",0.077484130859375
"OTIS","2009-02-01",-0.429290771484375
"CHSWRR","2009-02-01",-1.54046630859375
"CHSWRG","2009-02-01",-1.54046630859375
"PSSB","2009-02-01",-1.61929321289062
"PSFB","2009-02-01",-1.61929321289062
"SYSE","2009-02-01",-1.67535400390625
"SYSW","2009-02-01",-1.67535400390625
"SYLM","2009-02-01",-1.67535400390625
